,fighter,knockdowns,significant_strikes_landed,significant_strikes_attempted,significant_strikes_rate,total_strikes_landed,total_strikes_attempted,takedown_successful,takedown_attempted,takedown_rate,submission_attempt,reversals,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,round,result,last_round,scheduled_rounds,winner,weight_class,fight_date,id
7560,Chase Sherman,0,43,86,0.5,43,86,0,0,0,0,0,25,63,8,12,10,11,39,81,4,5,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-22,4197
7561,Damian Grabowski,0,25,60,0.41,26,62,0,4,0,0,0,14,47,6,7,5,6,20,51,5,9,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-22,4197
7562,Chase Sherman,0,36,70,0.51,37,71,0,0,0,0,0,19,51,8,8,9,11,27,59,9,11,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-22,4197
7563,Kyle Bochniak,0,3,9,0.33,7,13,0,0,0,0,0,1,7,1,1,1,1,2,6,0,0,1,3,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Featherweight Bout,2017-07-22,4198
7564,Jeremy Kennedy,0,8,15,0.53,17,26,2,3,0.66,0,0,4,11,3,3,1,1,1,3,5,7,2,5,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Featherweight Bout,2017-07-22,4198
7565,Kyle Bochniak,0,1,6,0.16,16,23,0,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Featherweight Bout,2017-07-22,4198
7566,Jeremy Kennedy,0,13,27,0.48,19,34,4,6,0.66,0,0,11,25,0,0,2,2,2,6,2,2,9,19,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Featherweight Bout,2017-07-22,4198
7567,Kyle Bochniak,0,19,39,0.48,20,40,0,0,0,0,0,11,30,2,2,6,7,19,39,0,0,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Featherweight Bout,2017-07-22,4198
7568,Jeremy Kennedy,0,20,52,0.38,23,58,2,5,0.4,0,0,15,46,3,4,2,2,10,35,0,2,10,15,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Featherweight Bout,2017-07-22,4198
7569,Brian Kelleher,0,8,16,0.5,14,22,1,3,0.33,0,0,2,7,3,3,3,6,5,12,3,4,0,0,round 1,Submission,1,3 Rnd (5-5-5),L,Bantamweight Bout,2017-07-22,4199
7570,Marlon Vera,0,5,15,0.33,5,15,0,0,0,2,0,2,11,2,3,1,1,4,14,1,1,0,0,round 1,Submission,1,3 Rnd (5-5-5),W,Bantamweight Bout,2017-07-22,4199
7571,Tim Johnson,0,19,41,0.46,25,50,0,0,0,0,0,7,24,2,5,10,12,8,26,11,15,0,0,round 1,KO/TKO,1,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-22,4200
7572,Junior Albini,1,21,35,0.6,28,42,0,0,0,0,0,11,23,9,11,1,1,12,24,7,8,2,3,round 1,KO/TKO,1,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-22,4200
7573,Shane Burgos,2,22,44,0.5,29,51,1,1,1,0,0,20,41,2,3,0,0,17,38,5,6,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Featherweight Bout,2017-07-22,4201
7574,Godofredo Pepey,0,15,56,0.26,16,57,0,5,0,0,0,11,48,4,8,0,0,14,54,1,2,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Featherweight Bout,2017-07-22,4201
7575,Shane Burgos,0,30,61,0.49,38,72,0,0,0,0,0,25,56,3,3,2,2,26,57,0,0,4,4,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Featherweight Bout,2017-07-22,4201
7576,Godofredo Pepey,0,21,71,0.29,21,71,0,5,0,0,0,17,66,3,4,1,1,21,71,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Featherweight Bout,2017-07-22,4201
7577,Shane Burgos,1,50,92,0.54,77,120,0,0,0,0,0,42,82,4,6,4,4,34,69,8,10,8,13,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Featherweight Bout,2017-07-22,4201
7578,Godofredo Pepey,0,15,50,0.3,15,50,0,4,0,0,0,12,45,2,4,1,1,14,49,1,1,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Featherweight Bout,2017-07-22,4201
7579,Frankie Perez,0,7,11,0.63,18,22,2,3,0.66,0,0,0,4,2,2,5,5,1,3,1,3,5,5,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2017-07-22,4202
7580,Chris Wade,0,10,14,0.71,16,22,2,4,0.5,1,0,8,12,2,2,0,0,0,2,2,2,8,10,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2017-07-22,4202
7581,Frankie Perez,0,6,28,0.21,13,38,0,0,0,0,0,3,20,0,4,3,4,6,28,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2017-07-22,4202
7582,Chris Wade,0,8,19,0.42,13,25,1,3,0.33,0,0,4,13,3,4,1,2,8,19,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2017-07-22,4202
7583,Frankie Perez,0,9,24,0.37,22,39,1,2,0.5,0,0,3,16,5,7,1,1,5,19,1,1,3,4,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2017-07-22,4202
7584,Chris Wade,0,5,10,0.5,22,32,0,1,0,1,1,4,6,1,2,0,2,4,9,0,0,1,1,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2017-07-22,4202
7585,Gunnar Nelson,0,5,7,0.71,5,7,0,0,0,0,0,4,6,0,0,1,1,5,7,0,0,0,0,round 1,KO/TKO,1,5 Rnd (5-5-5-5-5),L,Welterweight Bout,2017-07-16,4178
7586,Santiago Ponzinibbio,1,7,12,0.58,7,12,0,0,0,0,0,7,12,0,0,0,0,4,9,0,0,3,3,round 1,KO/TKO,1,5 Rnd (5-5-5-5-5),W,Welterweight Bout,2017-07-16,4178
7587,Joanne Calderwood,0,18,48,0.37,18,48,0,0,0,0,1,4,25,5,11,9,12,18,46,0,2,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Women's Strawweight Bout,2017-07-16,4179
7588,Cynthia Calvillo,0,16,34,0.47,23,41,1,2,0.5,1,0,4,12,8,11,4,11,15,33,0,0,1,1,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Women's Strawweight Bout,2017-07-16,4179
7589,Joanne Calderwood,0,20,66,0.3,20,66,0,0,0,0,0,4,42,6,12,10,12,20,66,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Women's Strawweight Bout,2017-07-16,4179
7590,Cynthia Calvillo,0,19,36,0.52,20,37,0,1,0,0,0,9,17,8,12,2,7,17,34,2,2,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Women's Strawweight Bout,2017-07-16,4179
7591,Joanne Calderwood,0,25,62,0.4,30,67,0,0,0,0,0,11,38,7,14,7,10,23,60,2,2,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Women's Strawweight Bout,2017-07-16,4179
7592,Cynthia Calvillo,0,19,41,0.46,19,41,1,2,0.5,1,0,8,22,8,13,3,6,16,36,2,3,1,2,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Women's Strawweight Bout,2017-07-16,4179
7593,Stevie Ray,0,5,9,0.55,11,15,0,1,0,0,0,2,6,2,2,1,1,2,4,3,5,0,0,round 1,KO/TKO,1,3 Rnd (5-5-5),L,Lightweight Bout,2017-07-16,4180
7594,Paul Felder,1,23,35,0.65,28,41,0,0,0,0,0,14,24,7,9,2,2,4,7,7,10,12,18,round 1,KO/TKO,1,3 Rnd (5-5-5),W,Lightweight Bout,2017-07-16,4180
7595,Jack Marshman,0,24,82,0.29,25,83,0,0,0,0,0,16,69,4,9,4,4,23,81,1,1,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Middleweight Bout,2017-07-16,4181
7596,Ryan Janes,0,25,56,0.44,27,58,0,0,0,0,0,18,45,7,10,0,1,24,55,1,1,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Middleweight Bout,2017-07-16,4181
7597,Jack Marshman,0,23,66,0.34,29,72,0,0,0,0,0,17,52,4,11,2,3,22,65,1,1,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Middleweight Bout,2017-07-16,4181
7598,Ryan Janes,0,18,47,0.38,44,75,0,0,0,0,0,9,35,8,11,1,1,11,40,7,7,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Middleweight Bout,2017-07-16,4181
7599,Jack Marshman,0,28,69,0.4,29,70,0,0,0,0,0,22,57,3,9,3,3,28,68,0,1,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Middleweight Bout,2017-07-16,4181
7600,Ryan Janes,0,40,86,0.46,48,94,0,0,0,0,0,31,72,6,11,3,3,33,76,7,10,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Middleweight Bout,2017-07-16,4181
7601,Khalil Rountree Jr.,1,15,47,0.31,15,47,0,0,0,0,0,14,43,1,4,0,0,13,42,0,0,2,5,round 1,KO/TKO,1,3 Rnd (5-5-5),W,Light Heavyweight Bout,2017-07-16,4182
7602,Paul Craig,0,17,29,0.58,17,29,0,1,0,0,0,1,6,3,4,13,19,17,29,0,0,0,0,round 1,KO/TKO,1,3 Rnd (5-5-5),L,Light Heavyweight Bout,2017-07-16,4182
7603,James Mulheron,0,13,35,0.37,13,35,0,0,0,0,0,4,21,7,12,2,2,12,33,1,2,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-16,4183
7604,Justin Willis,0,15,30,0.5,17,32,1,1,1,0,0,11,23,2,4,2,3,14,28,1,1,0,1,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-16,4183
7605,James Mulheron,0,8,37,0.21,22,51,0,0,0,0,0,4,31,4,5,0,1,8,37,0,0,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-16,4183
7606,Justin Willis,0,22,30,0.73,34,45,1,1,1,0,0,17,25,2,2,3,3,12,20,0,0,10,10,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-16,4183
7607,James Mulheron,0,15,42,0.35,21,50,0,0,0,0,0,7,33,7,8,1,1,10,34,5,8,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-16,4183
7608,Justin Willis,0,15,31,0.48,21,37,1,2,0.5,0,0,12,25,3,5,0,1,14,29,1,2,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-16,4183
7609,Danny Roberts,0,10,30,0.33,11,31,0,0,0,0,0,4,23,3,4,3,3,7,26,3,3,0,1,round 1,KO/TKO,2,3 Rnd (5-5-5),W,Welterweight Bout,2017-07-16,4184
7610,Bobby Nash,0,11,35,0.31,25,53,2,2,1,0,0,7,25,3,8,1,2,7,28,4,7,0,0,round 1,KO/TKO,2,3 Rnd (5-5-5),L,Welterweight Bout,2017-07-16,4184
7611,Danny Roberts,1,14,35,0.4,18,40,0,1,0,0,0,10,23,4,10,0,2,11,28,2,5,1,2,round 2,KO/TKO,2,3 Rnd (5-5-5),W,Welterweight Bout,2017-07-16,4184
7612,Bobby Nash,0,14,28,0.5,21,38,0,3,0,0,0,8,20,2,4,4,4,11,25,3,3,0,0,round 2,KO/TKO,2,3 Rnd (5-5-5),L,Welterweight Bout,2017-07-16,4184
7613,Alexandre Pantoja,1,45,99,0.45,46,100,0,0,0,0,0,18,63,12,18,15,18,37,88,8,11,0,0,round 1,Submission,3,3 Rnd (5-5-5),W,Flyweight Bout,2017-07-16,4185
7614,Neil Seery,0,29,78,0.37,32,82,0,2,0,0,0,24,73,3,3,2,2,28,76,1,2,0,0,round 1,Submission,3,3 Rnd (5-5-5),L,Flyweight Bout,2017-07-16,4185
7615,Alexandre Pantoja,0,67,113,0.59,70,116,0,0,0,0,0,35,70,25,35,7,8,40,80,27,33,0,0,round 2,Submission,3,3 Rnd (5-5-5),W,Flyweight Bout,2017-07-16,4185
7616,Neil Seery,0,47,90,0.52,49,92,0,0,0,0,0,43,83,3,5,1,2,36,73,11,17,0,0,round 2,Submission,3,3 Rnd (5-5-5),L,Flyweight Bout,2017-07-16,4185
7617,Alexandre Pantoja,0,7,15,0.46,15,23,1,1,1,1,0,4,12,1,1,2,2,6,14,0,0,1,1,round 3,Submission,3,3 Rnd (5-5-5),W,Flyweight Bout,2017-07-16,4185
7618,Neil Seery,0,6,15,0.4,9,18,0,0,0,0,0,5,14,1,1,0,0,4,11,0,0,2,4,round 3,Submission,3,3 Rnd (5-5-5),L,Flyweight Bout,2017-07-16,4185
7619,Charlie Ward,0,3,12,0.25,4,13,0,1,0,0,0,2,9,1,2,0,1,3,9,0,3,0,0,round 1,KO/TKO,1,3 Rnd (5-5-5),L,Welterweight Bout,2017-07-16,4186
7620,Galore Bofando,0,10,25,0.4,10,25,1,1,1,0,0,6,18,2,4,2,3,8,21,0,0,2,4,round 1,KO/TKO,1,3 Rnd (5-5-5),W,Welterweight Bout,2017-07-16,4186
7621,Danny Henry,0,18,55,0.32,28,71,0,1,0,0,0,11,45,4,7,3,3,15,49,1,2,2,4,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2017-07-16,4187
7622,Daniel Teymur,0,45,68,0.66,49,73,0,1,0,0,0,26,46,4,4,15,18,31,48,7,11,7,9,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2017-07-16,4187
7623,Danny Henry,1,41,76,0.53,49,84,0,1,0,1,0,35,63,4,11,2,2,18,46,4,5,19,25,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2017-07-16,4187
7624,Daniel Teymur,0,22,54,0.4,23,55,0,1,0,0,0,16,46,4,4,2,4,17,47,5,7,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2017-07-16,4187
7625,Danny Henry,0,34,43,0.79,76,88,1,1,1,1,0,23,31,10,11,1,1,16,23,1,1,17,19,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2017-07-16,4187
7626,Daniel Teymur,0,2,7,0.28,6,11,0,0,0,0,0,2,7,0,0,0,0,2,7,0,0,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2017-07-16,4187
7627,Brett Johns,0,22,36,0.61,67,87,1,1,1,0,0,21,35,0,0,1,1,4,11,0,0,18,25,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Bantamweight Bout,2017-07-16,4188
7628,Albert Morales,0,13,29,0.44,16,32,0,0,0,0,0,6,22,1,1,6,6,10,26,0,0,3,3,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Bantamweight Bout,2017-07-16,4188
7629,Brett Johns,0,19,29,0.65,62,76,1,3,0.33,0,0,16,25,2,3,1,1,7,14,0,0,12,15,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Bantamweight Bout,2017-07-16,4188
7630,Albert Morales,0,9,41,0.21,26,65,0,0,0,0,0,8,40,1,1,0,0,8,40,0,0,1,1,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Bantamweight Bout,2017-07-16,4188
7631,Brett Johns,0,15,39,0.38,43,68,1,1,1,1,0,15,38,0,1,0,0,8,29,0,0,7,10,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Bantamweight Bout,2017-07-16,4188
7632,Albert Morales,0,6,45,0.13,21,60,0,0,0,0,0,6,45,0,0,0,0,5,43,0,0,1,2,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Bantamweight Bout,2017-07-16,4188
7633,Leslie Smith,0,37,76,0.48,45,84,0,0,0,0,0,23,59,9,12,5,5,20,49,16,25,1,2,round 1,KO/TKO,2,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2017-07-16,4189
7634,Amanda Lemos,0,41,64,0.64,42,65,1,1,1,0,0,25,44,10,14,6,6,30,53,11,11,0,0,round 1,KO/TKO,2,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2017-07-16,4189
7635,Leslie Smith,0,64,116,0.55,69,123,0,0,0,0,0,51,98,11,14,2,4,26,66,38,50,0,0,round 2,KO/TKO,2,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2017-07-16,4189
7636,Amanda Lemos,0,27,42,0.64,28,43,0,0,0,0,0,18,32,4,5,5,5,25,38,2,4,0,0,round 2,KO/TKO,2,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2017-07-16,4189
7637,Yoel Romero,0,12,18,0.66,14,20,1,4,0.25,0,0,2,8,3,3,7,7,10,16,2,2,0,0,round 1,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,UFC Interim Middleweight Title Bout,2017-07-08,4167
7638,Robert Whittaker,0,7,25,0.28,7,25,0,0,0,0,0,4,19,2,5,1,1,6,21,1,4,0,0,round 1,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,UFC Interim Middleweight Title Bout,2017-07-08,4167
7639,Yoel Romero,0,6,12,0.5,49,55,2,6,0.33,0,0,4,8,2,3,0,1,3,9,1,1,2,2,round 2,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,UFC Interim Middleweight Title Bout,2017-07-08,4167
7640,Robert Whittaker,0,6,22,0.27,10,27,0,0,0,0,0,2,14,3,6,1,2,3,18,3,4,0,0,round 2,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,UFC Interim Middleweight Title Bout,2017-07-08,4167
7641,Yoel Romero,0,5,16,0.31,5,16,0,3,0,0,0,2,11,1,3,2,2,5,16,0,0,0,0,round 3,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,UFC Interim Middleweight Title Bout,2017-07-08,4167
7642,Robert Whittaker,0,11,53,0.2,13,55,0,0,0,0,0,8,36,2,16,1,1,10,51,1,2,0,0,round 3,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,UFC Interim Middleweight Title Bout,2017-07-08,4167
7643,Yoel Romero,0,7,18,0.38,8,19,1,4,0.25,0,0,2,10,1,1,4,7,5,16,0,0,2,2,round 4,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,UFC Interim Middleweight Title Bout,2017-07-08,4167
7644,Robert Whittaker,0,19,42,0.45,19,42,0,0,0,0,0,11,31,7,10,1,1,16,38,2,2,1,2,round 4,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,UFC Interim Middleweight Title Bout,2017-07-08,4167
7645,Yoel Romero,0,18,43,0.41,38,65,0,1,0,0,0,10,31,5,8,3,4,18,43,0,0,0,0,round 5,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,UFC Interim Middleweight Title Bout,2017-07-08,4167
7646,Robert Whittaker,0,31,79,0.39,45,95,0,0,0,0,0,21,63,9,15,1,1,24,67,0,0,7,12,round 5,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,UFC Interim Middleweight Title Bout,2017-07-08,4167
7647,Fabricio Werdum,0,12,30,0.4,12,30,0,1,0,0,0,2,16,1,5,9,9,12,30,0,0,0,0,round 1,Decision - Majority,3,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-08,4168
7648,Alistair Overeem,0,5,10,0.5,6,11,0,0,0,0,0,3,8,1,1,1,1,4,9,1,1,0,0,round 1,Decision - Majority,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-08,4168
7649,Fabricio Werdum,0,13,39,0.33,23,49,0,1,0,0,0,6,28,4,6,3,5,12,35,1,3,0,1,round 2,Decision - Majority,3,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-08,4168
7650,Alistair Overeem,0,10,16,0.62,16,22,0,0,0,0,0,6,12,4,4,0,0,9,15,1,1,0,0,round 2,Decision - Majority,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-08,4168
7651,Fabricio Werdum,1,24,46,0.52,72,97,1,1,1,0,0,20,40,4,6,0,0,13,29,4,8,7,9,round 3,Decision - Majority,3,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-08,4168
7652,Alistair Overeem,0,6,12,0.5,7,13,0,0,0,0,0,6,12,0,0,0,0,5,11,1,1,0,0,round 3,Decision - Majority,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-08,4168
7653,Daniel Omielanczuk,0,16,35,0.45,27,46,0,0,0,0,0,5,22,9,10,2,3,8,26,8,9,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-08,4169
7654,Curtis Blaydes,0,17,38,0.44,31,54,0,6,0,0,0,7,28,7,7,3,3,4,21,13,17,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-08,4169
7655,Daniel Omielanczuk,0,15,46,0.32,20,51,0,0,0,0,0,9,38,6,7,0,1,10,40,5,6,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-08,4169
7656,Curtis Blaydes,0,21,57,0.36,28,66,0,4,0,0,0,14,48,5,7,2,2,16,52,5,5,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-08,4169
7657,Daniel Omielanczuk,0,20,51,0.39,21,52,0,1,0,0,0,15,45,2,3,3,3,18,47,2,4,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-08,4169
7658,Curtis Blaydes,0,34,73,0.46,35,74,0,3,0,0,0,20,59,11,11,3,3,19,56,2,4,13,13,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-08,4169
7659,Anthony Pettis,0,36,53,0.67,36,53,0,0,0,0,0,21,33,14,19,1,1,31,47,5,6,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2017-07-08,4170
7660,Jim Miller,0,17,49,0.34,17,49,0,2,0,0,0,5,29,3,10,9,10,16,46,1,3,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2017-07-08,4170
7661,Anthony Pettis,0,12,22,0.54,34,45,1,1,1,0,0,7,17,4,4,1,1,3,9,0,0,9,13,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2017-07-08,4170
7662,Jim Miller,0,8,19,0.42,11,22,1,1,1,0,0,4,15,2,2,2,2,4,8,0,0,4,11,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2017-07-08,4170
7663,Anthony Pettis,0,32,46,0.69,37,52,0,1,0,0,0,21,35,9,9,2,2,29,43,3,3,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Lightweight Bout,2017-07-08,4170
7664,Jim Miller,0,23,42,0.54,23,42,0,1,0,0,0,4,21,10,11,9,10,13,30,10,12,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Lightweight Bout,2017-07-08,4170
7665,Rob Font,0,31,67,0.46,38,75,1,2,0.5,2,0,22,56,6,8,3,3,25,61,2,2,4,4,round 1,Submission,2,3 Rnd (5-5-5),W,Bantamweight Bout,2017-07-08,4171
7666,Douglas Silva de Andrade,0,12,43,0.27,14,45,1,1,1,0,0,5,29,1,2,6,12,12,43,0,0,0,0,round 1,Submission,2,3 Rnd (5-5-5),L,Bantamweight Bout,2017-07-08,4171
7667,Rob Font,0,39,77,0.5,41,79,1,2,0.5,1,0,28,64,8,10,3,3,29,66,10,11,0,0,round 2,Submission,2,3 Rnd (5-5-5),W,Bantamweight Bout,2017-07-08,4171
7668,Douglas Silva de Andrade,0,16,50,0.32,18,53,1,1,1,0,0,11,39,3,7,2,4,15,47,1,3,0,0,round 2,Submission,2,3 Rnd (5-5-5),L,Bantamweight Bout,2017-07-08,4171
7669,Travis Browne,1,24,51,0.47,24,51,0,0,0,0,0,11,34,11,15,2,2,20,46,4,4,0,1,round 1,Submission,2,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-08,4172
7670,Aleksei Oleinik,1,29,52,0.55,50,75,2,2,1,1,0,20,43,9,9,0,0,15,35,6,8,8,9,round 1,Submission,2,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-08,4172
7671,Travis Browne,0,11,20,0.55,13,23,1,1,1,0,0,6,14,5,6,0,0,5,13,6,7,0,0,round 2,Submission,2,3 Rnd (5-5-5),L,Heavyweight Bout,2017-07-08,4172
7672,Aleksei Oleinik,0,24,33,0.72,82,97,1,2,0.5,1,0,15,24,9,9,0,0,8,16,10,10,6,7,round 2,Submission,2,3 Rnd (5-5-5),W,Heavyweight Bout,2017-07-08,4172
7673,Chad Laprise,0,36,74,0.48,38,76,1,1,1,0,0,12,47,15,18,9,9,36,74,0,0,0,0,round 1,KO/TKO,3,3 Rnd (5-5-5),W,Welterweight Bout,2017-07-08,4173
7674,Brian Camozzi,0,20,74,0.27,21,75,0,0,0,0,0,10,62,4,6,6,6,20,74,0,0,0,0,round 1,KO/TKO,3,3 Rnd (5-5-5),L,Welterweight Bout,2017-07-08,4173
7675,Chad Laprise,0,20,64,0.31,20,64,0,0,0,0,0,10,52,8,10,2,2,20,64,0,0,0,0,round 2,KO/TKO,3,3 Rnd (5-5-5),W,Welterweight Bout,2017-07-08,4173
7676,Brian Camozzi,0,22,80,0.27,22,80,0,0,0,0,0,15,72,5,5,2,3,22,80,0,0,0,0,round 2,KO/TKO,3,3 Rnd (5-5-5),L,Welterweight Bout,2017-07-08,4173
7677,Chad Laprise,1,20,41,0.48,20,41,0,0,0,0,0,9,28,10,12,1,1,8,26,5,6,7,9,round 3,KO/TKO,3,3 Rnd (5-5-5),W,Welterweight Bout,2017-07-08,4173
7678,Brian Camozzi,0,5,28,0.17,5,28,0,0,0,0,0,4,26,0,0,1,2,5,28,0,0,0,0,round 3,KO/TKO,3,3 Rnd (5-5-5),L,Welterweight Bout,2017-07-08,4173
7679,Thiago Santos,0,36,66,0.54,40,70,0,0,0,0,0,26,55,6,6,4,5,17,41,2,3,17,22,round 1,KO/TKO,2,3 Rnd (5-5-5),W,Middleweight Bout,2017-07-08,4174
7680,Gerald Meerschaert,0,15,28,0.53,15,28,2,5,0.4,0,0,13,23,2,5,0,0,7,19,4,5,4,4,round 1,KO/TKO,2,3 Rnd (5-5-5),L,Middleweight Bout,2017-07-08,4174
7681,Thiago Santos,0,24,49,0.48,25,51,0,0,0,0,0,22,47,1,1,1,1,1,3,1,1,22,45,round 2,KO/TKO,2,3 Rnd (5-5-5),W,Middleweight Bout,2017-07-08,4174
7682,Gerald Meerschaert,0,0,1,0,0,1,1,3,0.33,0,0,0,1,0,0,0,0,0,0,0,1,0,0,round 2,KO/TKO,2,3 Rnd (5-5-5),L,Middleweight Bout,2017-07-08,4174
7683,Jordan Mein,0,22,36,0.61,28,42,0,1,0,0,0,2,14,4,5,16,17,22,36,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Welterweight Bout,2017-07-08,4175
7684,Belal Muhammad,0,17,51,0.33,29,64,0,4,0,0,0,11,39,4,10,2,2,14,45,3,6,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Welterweight Bout,2017-07-08,4175
